smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight,source,log_co2_solubility_pred,co2_solubility_pred,uncertainty,temperature_K,pressure_bar,rel_uncertainty,rank,vs_mea,physics_consistent,delta_H_kJ_mol,vant_hoff_r2,physics_flags
C1CCCCC1.CC(=O)[O-],SELFIES-BMPyr-mut,C1CCCCC1,OAc,CC([O-])=O,143.206,selfies,-0.12008687946945429,0.7584258387571352,0.0317864652825012,298.15,10.0,0.2646955722634671,1,279.2129193785676,True,-7.02071055810317,0.9928409692977421,
C1#CCCC1.CC(=O)[O-],SELFIES-N4444-mut,C1#CCCC1,OAc,CC([O-])=O,125.14699999999999,selfies,-0.14511401765048504,0.7159554219353967,0.03315364060869482,298.15,10.0,0.22846614782968216,2,257.97771096769833,True,-6.872426974936128,0.9923054149090352,
CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,PH-Bu-Bu-Bu-Bu,CCCC[P+](CCCC)(CCCC)CCCC,OAc,CC([O-])=O,318.482,combinatorial,-0.15082363691180944,0.7066044417247462,0.03535312412954405,298.15,10.0,0.2344004219326441,3,253.3022208623731,True,-7.439538508848359,0.9937634196013678,
C1#CCCCC1.CC(=O)[O-],SELFIES-HMIM-mut,C1#CCCCC1,OAc,CC([O-])=O,139.174,selfies,-0.1604840187355876,0.6910603587290057,0.0332543933508801,298.15,10.0,0.20721311450749386,4,245.53017936450283,True,-7.115919086259894,0.9932054902904328,
CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CC(C)(C)C,PH-neoP-Bu-Bu-Bu,CCCC[P+](CCCC)(CCCC)CC(C)(C)C,OAc,CC([O-])=O,332.509,combinatorial,-0.1641674805432558,0.685223926970601,0.02069280062852679,298.15,10.0,0.12604689162586333,5,242.61196348530046,True,-7.266630404653813,0.9935071185467397,
C1CCOC1.CC(=O)[O-],SELFIES-BMIM-mut,C1CCOC1,OAc,CC([O-])=O,131.15099999999998,selfies,-0.16548875998705626,0.683142398217829,0.023043576911630677,298.15,10.0,0.13924557120032222,6,241.57119910891444,True,-6.914138784758549,0.9924389146050796,
CC(=O)[O-].CCCCC(CCCC)CCCC,SELFIES-N4444-mut,CCCCC(CCCC)CCCC,OAc,CC([O-])=O,243.41099999999994,selfies,-0.16783259622752666,0.6794654898860556,0.03901560602678429,298.15,10.0,0.2324673925313755,7,239.73274494302777,True,-7.490882799176386,0.9938817140978763,
C1CNC1.CC(=O)[O-],SELFIES-EMIM-mut,C1CNC1,OAc,CC([O-])=O,116.13999999999999,selfies,-0.16865402180701494,0.6781815618944996,0.03336611797679491,298.15,10.0,0.1978376656500645,8,239.09078094724978,True,-6.654309128726736,0.9926887359209922,
CC(=O)[O-].CCCC[PH+](CCCC)CCCC,SELFIES-P4444-mut,CCCC[PH+](CCCC)CCCC,OAc,CC([O-])=O,262.3739999999999,selfies,-0.17236284632235765,0.6724146295120143,0.03296415480692587,298.15,10.0,0.19124861018641695,9,236.2073147560071,True,-7.398810787008886,0.9937758362393183,
CC(=O)[O-].CCCC[P+](CCC)(CCCC)CCCC,PH-Pr-Bu-Bu-Bu,CCCC[P+](CCC)(CCCC)CCCC,OAc,CC([O-])=O,304.455,combinatorial,-0.17668860033154488,0.6657503442345798,0.030668688515119454,298.15,10.0,0.1735748002846342,10,232.87517211728988,True,-7.486931510028125,0.9938344468446719,
CC(=O)[O-].CCCCC[P+](CCCC)(CCCC)CCCC,PH-Bu-Bu-Bu-Pe,CCCCC[P+](CCCC)(CCCC)CCCC,OAc,CC([O-])=O,332.50900000000007,combinatorial,-0.17726102843880653,0.6648734204368406,0.031356586778534416,298.15,10.0,0.17689498393810366,11,232.4367102184203,True,-7.579885241025941,0.9937594094862056,
CC(=O)[O-].CCCCC(CCCC)CCCC1CCC1,SELFIES-P4444-mut,CCCCC(CCCC)CCCC1CCC1,OAc,CC([O-])=O,283.47599999999994,selfies,-0.1786130452528596,0.6628067990480254,0.041335801115616494,298.15,10.0,0.23142655149906924,12,231.40339952401268,True,-7.653998410235136,0.9942843053563369,
CC(=O)[O-].CCCCCC,SELFIES-P66614-mut,CCCCCC,OAc,CC([O-])=O,145.22199999999998,selfies,-0.1801208034157753,0.6605096949802982,0.028299074359111012,298.15,10.0,0.157111637425844,13,230.25484749014907,True,-7.101104850451779,0.9931876392663618,
CC(=O)[O-].CCCCCCN=C(C)C,SELFIES-HMIM-mut,CCCCCCN=C(C)C,OAc,CC([O-])=O,200.302,selfies,-0.18081080447882414,0.6594611195187583,0.04523623981453631,298.15,10.0,0.25018549054591593,14,229.73055975937916,True,-6.933762203642446,0.9929150515128332,
CC(=[N-])[O-].CCCC[P+](CCCC)(CCCC)CCCC,P4444,CCCC[P+](CCCC)(CCCC)CCCC,SELFIES-OAc-mut,CC(=[N-])[O-],316.49,selfies,-0.1817670315504074,0.658010719177796,0.03705952314271567,298.15,10.0,0.20388473545841215,15,229.005359588898,True,-7.5713490470359215,0.9938386057373968,
CC(=O)[O-].CCCCC=C(C)C,SELFIES-BMIM-mut,CCCCC=C(C)C,OAc,CC([O-])=O,171.25999999999996,selfies,-0.18277107924222946,0.6564912178912893,0.04671352851678978,298.15,10.0,0.2555849027672457,16,228.24560894564462,True,-6.42811169525647,0.9939290277921596,
CC(=O)[O-].CC1=CC2CCC2C1,SELFIES-BMIM-mut,CC1=CC2CCC2C1,OAc,CC([O-])=O,167.228,selfies,-0.18335810396820307,0.6556044549716125,0.043206829949119514,298.15,10.0,0.23564177974163716,17,227.8022274858062,True,-6.784399371541558,0.9925521704077104,
