smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C2,CC[n+]1ccn(C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,260.23699999999997
CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,IM-C1-C2,CC[n+]1ccn(C)c1,EtSO4,CCOS([O-])(=O)=O,236.29299999999998
CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],IM-C1-C2,CC[n+]1ccn(C)c1,MeSO4,COS([O-])(=O)=O,222.266
CC[n+]1ccn(C)c1.O=S(=O)([O-])O,IM-C1-C2,CC[n+]1ccn(C)c1,HSO4,[O-]S(O)(=O)=O,208.23899999999998
CC[n+]1ccn(C)c1.NCC(=O)[O-],IM-C1-C2,CC[n+]1ccn(C)c1,Gly,[NH2]CC([O-])=O,185.22699999999998
CC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,IM-C1-C2,CC[n+]1ccn(C)c1,Pro,[O-]C(=O)C1CCCN1,225.29199999999997
CC(O)C(=O)[O-].CC[n+]1ccn(C)c1,IM-C1-C2,CC[n+]1ccn(C)c1,Lac,CC(O)C([O-])=O,200.238
CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,IM-C1-C2,CC[n+]1ccn(C)c1,TFA,[O-]C(=O)C(F)(F)F,224.18199999999996
CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C2,CC[n+]1ccn(C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,491.329
CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C2,CC[n+]1ccn(C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,291.301
CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C2,CC[n+]1ccn(C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,226.052
CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,IM-C1-C2,CC[n+]1ccn(C)c1,DEP,CCOP([O-])(=O)OCC,264.26199999999994
CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],IM-C1-C2,CC[n+]1ccn(C)c1,MeSO3,CS([O-])(=O)=O,206.26699999999997
CC[n+]1ccn(C)c1.O=C[O-],IM-C1-C2,CC[n+]1ccn(C)c1,Formate,[O-]C=O,156.185
CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,IM-C1-C2,CC[n+]1ccn(C)c1,Benzoate,[O-]C(=O)c1ccccc1,232.28300000000002
CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C3,CCC[n+]1ccn(C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,405.342
