smiles,log_viscosity
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.4596705252091263
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.5654310959658012
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.6635402661514705
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.769551078621726
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.9546770212133425
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.0996328713435297
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.214670164989233
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.368556230986828
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.6108339156354676
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.812479279163537
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-1.9926790470772553
CCC(=O)[O-].C[N+](C)(C)CCO,0.6609128874774061
CCC(=O)[O-].C[N+](C)(C)CCO,0.49408498996638206
CCC(=O)[O-].C[N+](C)(C)CCO,0.3437039317832114
CCC(=O)[O-].C[N+](C)(C)CCO,0.20763436738896152
CCC(=O)[O-].C[N+](C)(C)CCO,0.08600370561838187
CCC(=O)[O-].C[N+](C)(C)CCO,-0.027334407733889052
CCC(=O)[O-].C[N+](C)(C)CCO,-0.1310618216670887
CCC(=O)[O-].C[N+](C)(C)CCO,-0.5590909179347823
CCC(=O)[O-].C[N+](C)(C)CCO,-0.6777807052660807
CCC(=O)[O-].C[N+](C)(C)CCO,-0.7878123955960422
CCC(=O)[O-].C[N+](C)(C)CCO,-0.889410289700751
CCC(=O)[O-].Cn1cc[nH+]c1,-0.48678239993206096
CCC(=O)[O-].Cn1cc[nH+]c1,-0.7657358756212107
CCC(=O)[O-].Cn1cc[nH+]c1,-1.0030507515046188
CCC(=O)[O-].Cn1cc[nH+]c1,-1.209152096034568
CCC(=O)[O-].Cn1cc[nH+]c1,-1.3898723869240046
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,0.4867137759824855
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,0.30319605742048883
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,0.12878685864259795
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.007225635744644454
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.15864052954514513
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.2984320149440726
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.4089353929735008
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.5917600346881504
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.707743928643524
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.8195873671616761
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-0.9251835593548252
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.0154726866562074
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.1015490808016253
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.1870866433571443
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.2676062401770316
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.3535962737769305
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.4282911681913124
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.4941719661451638
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.5528419686577808
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.6108339156354676
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.697020063251751
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)C(F)(F)C(F)(F)F,-1.7557228791981572
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.23003998115794236
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.07094247403011192
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.17717835469689538
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.2502636844309389
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.3788237182249648
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.4941719661451638
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.6575773191777937
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.7191940716063332
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.8716007312821936
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.9122185821904576
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.0513425678586796
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.0983782359066427
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.1932774969238187
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.2641616656829262
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.341035157335565
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.4004990132112254
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.4834646261042004
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-1.5512936800949202
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0892337313653983
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.07520400420208784
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.21609642072726507
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.3545777306509081
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.4975728800155673
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.6062493596519196
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.721246399047171
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.8184422261372136
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.9303319030884043
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.027334407733889
