smiles,log_density
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,871.3
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,867.4
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,863.6
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,861.5
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,857.8
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,855.6
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,852.05
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,850.8
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,848.2
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,845.3
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1157.5
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1153.5
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1171.35
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1167.9499999999998
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1142.5
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1161.15
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1157.75
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1154.2
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1150.95
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1147.75
CC(O)C(=O)[O-].CCn1cc[n+](C)c1,1144.4
