smiles,log_co2_solubility
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7171513971653551
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.6632401663017521
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.22841251911874466
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.732593581247096
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.6897316333675524
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.6842395093342654
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.9665762445130504
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7544873321858502
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.8253588073395516
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5800442515102421
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5346171485515817
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5016894462103995
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4762535331884355
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.46092390120722343
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4282911681913124
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.22841251911874466
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7583290262158704
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7110803943382734
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.712198270069774
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.640164517660112
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5867002359187482
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5316526695878427
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.48945498979338786
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4353339357479107
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4056074496245733
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.384049948343599
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.3585258894959005
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7801536139756393
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.22841251911874466
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7757259857057422
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7757259857057422
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7033348097384688
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.632644078973981
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5783960731301689
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5391021572434522
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.494850021680094
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4546928835341759
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.43415218132648237
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.4122890349810886
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.3893398369101201
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.22841251911874466
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7977842241988685
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7721132953863264
CC(=O)[O-].CCCCn1cc[n+](C)c1,-1.2006594505464183
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.889410289700751
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.7931741239681502
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.645891560852599
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5968794788241821
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5654310959658012
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5421181032660077
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5316526695878427
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.5003129173815962
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.22841251911874466
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.47108329972234525
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.393618634889395
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.33254704711004607
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.29157909986528724
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.26680273489343054
CC(=O)[O-].CCCCn1cc[n+](C)c1,-0.24565166428898116
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9935339577507682
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.7209036702523988
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.608447433389072
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5707323335668315
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.50466384068646
CC(=O)[O-].CCn1cc[n+](C)c1,-0.46775535637341775
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.435866776157895
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4156122305530451
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4007721372262037
CC(=O)[O-].CCn1cc[n+](C)c1,-0.3680998528331917
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.3491099221436876
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33677036546713224
CC(=O)[O-].CCn1cc[n+](C)c1,-0.582030357785263
CC(=O)[O-].CCn1cc[n+](C)c1,-0.849243560139691
CC(=O)[O-].CCn1cc[n+](C)c1,-0.7894139750948436
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6305985863033756
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.8591778198906894
CC(=O)[O-].CCn1cc[n+](C)c1,-0.8407336689065058
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6456994376546403
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.8601209135987634
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6925039620867871
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6565914061961426
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6738690432892054
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6439741428068774
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5030703519267851
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5531522898441912
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4559319556497244
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4418916983694504
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4662914767601401
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34659450933549885
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9387360576997501
CC(=O)[O-].CCn1cc[n+](C)c1,-0.8632794328435932
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.7119744646116372
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9062282185012701
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-1.0268721464003014
CC(=O)[O-].CCn1cc[n+](C)c1,-0.8877302315827293
CC(=O)[O-].CCn1cc[n+](C)c1,-0.7304870557820837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.7186256976449531
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5783960731301689
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6422556748196244
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5316526695878427
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5257837359237448
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5652714582202423
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.30016227413275426
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.34582345812203946
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.28257916327762506
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.24033215531036956
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.6757175447023074
CC(=O)[O-].CCn1cc[n+](C)c1,-0.5114492834995558
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.9913998282380825
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4412914294668343
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2984320149440726
CC(=O)[O-].CCn1cc[n+](C)c1,-0.2831622767004755
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(=O)[O-].CCn1cc[n+](C)c1,-0.25414480482627105
CC(=O)[O-].CCn1cc[n+](C)c1,-0.530177984021837
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4854522473397139
CC(=O)[O-].CCn1cc[n+](C)c1,-0.4473317838878068
CC(=O)[O-].CCn1cc[n+](C)c1,-0.40340290437353976
CC(=O)[O-].CCn1cc[n+](C)c1,-0.33629907461035186
CC(=O)[O-].CCn1cc[n+](C)c1,-0.27164621797877153
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.08884239126002341
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.07935499859321243
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.08884239126002341
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.07935499859321243
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.22548303427145044
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.08884239126002341
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.07935499859321243
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.06854212931099495
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.5030703519267851
CC(C[P-](=O)C(C)CC(C)(C)C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,-0.40011692792631215
